"","Blautia_wexlerae","Blautia_coccoides","Roseburia_faecis","Blautia_sp_CAG_257","Roseburia_hominis","Dorea_formicigenerans","Ruminococcus_gnavus","Tyzzerella_nexilis","Eubacterium_hallii","Gemella_haemolysans","Eubacterium_eligens","Hungatella_hathewayi","Dialister_invisus","Anaerostipes_hadrus","Ruminococcus_bromii","Clostridium_neonatale","Eubacterium_sp_CAG_38","Staphylococcus_aureus","Alistipes_putredinis","Anaerostipes_caccae","Alistipes_finegoldii","Bacteroides_dorei","Roseburia_intestinalis","Roseburia_inulinivorans","Streptococcus_mitis","Bacteroides_ovatus","Staphylococcus_hominis","Enterococcus_faecalis","Rothia_mucilaginosa","Bacteroides_caccae","Streptococcus_sp_A12","Sellimonas_intestinalis","Veillonella_dispar","Veillonella_rogosae","Streptococcus_peroris","Veillonella_parvula","Veillonella_atypica","Bacteroides_fragilis","Bacteroides_vulgatus","Bacteroides_uniformis","Streptococcus_infantis","Lachnospira_pectinoschiza","Lactobacillus_rhamnosus","Staphylococcus_epidermidis","Veillonella_infantium","Staphylococcus_lugdunensis","Clostridium_bolteae_CAG_59","Flavonifractor_plautii","Clostridium_bolteae","Streptococcus_salivarius","Eggerthella_lenta","Clostridium_citroniae","Anaerotruncus_colihominis","Veillonella_sp_T11011_6","Clostridium_aldenense","Clostridium_symbiosum","Enorma_massiliensis","Streptococcus_thermophilus","Streptococcus_parasanguinis","Parabacteroides_merdae","Bacteroides_thetaiotaomicron","Clostridioides_difficile","Clostridium_clostridioforme","Faecalibacterium_prausnitzii","Sutterella_parvirubra","Varibaculum_cambriense","Agathobaculum_butyriciproducens","Parabacteroides_distasonis","Gordonibacter_pamelaeae","_Collinsella__massiliensis","Haemophilus_sputorum","Collinsella_stercoris","Escherichia_coli","Actinomyces_sp_HMSC035G02","Ruthenibacterium_lactatiformans","Collinsella_aerofaciens","Eubacterium_rectale","Fusicatenibacter_saccharivorans","Intestinibacter_bartlettii","Actinomyces_odontolyticus","Klebsiella_oxytoca","Collinsella_intestinalis","Haemophilus_sp_HMSC71H05","Turicibacter_sanguinis","Akkermansia_muciniphila","Actinomyces_sp_oral_taxon_181","Aeriscardovia_aeriphila","Bifidobacterium_breve","Haemophilus_parainfluenzae","Bilophila_wadsworthia","Bifidobacterium_longum","Bifidobacterium_bifidum","Bifidobacterium_dentium","Coprobacillus_cateniformis","Clostridium_innocuum","Intestinimonas_butyriciproducens","Bifidobacterium_adolescentis","Parasutterella_excrementihominis","Clostridium_spiroforme","Bifidobacterium_pseudocatenulatum","Erysipelatoclostridium_ramosum","Group"
"256_4M",0,0,0,0,0,0,7.21e-05,0,0,0,0,0,0,0,0,0,0,0.0006984,0,0,0,0,0,0,0.003745,0,0,0.0002003,0.0004522,0,0,0,0.0008803,0,0.0002787,0.0135032,4.73e-05,0,7.89e-05,3.65e-05,0.0002456,0,0.0006193,6.2e-06,5.84e-05,0,0,0,0,0.000828,0,0,0,0.0001454,0,0,0,0,0.0002161,0,0,0,0,0.0001096,0,0,0,0,0,0,0,0,0.0871951,6.12e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.19e-05,0.0001085,0,0,0.5568438,0.1842258,0,0,4.05e-05,0,0,2.18e-05,0,0,0,"4M"
"256_B",0,0,0,0,0,0,3.88e-05,0,0,0.0019857,0,0,0,0,0,0,0,7.45e-05,0,0,0,0,0,0,0.0004445,0,0,0,0.000564,0,0,0,0,0,0,0,0,0,6.05e-05,7.18e-05,0.0027049,0,0,0.0009694,0,0,0,0,0,0.0080055,0,0,0,0,0,0,0,0,7.4e-05,0,0,0,0,0.000203,0,0,0,0,0,0,0,0,0.3081833,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73e-05,0.0001316,0,0,0.537772,0.004794,0,0,2.78e-05,0,0,0,0,0,0,"B"
"258_4M",0,0,1.18e-05,0,0,0,0.4271608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15e-05,9.16e-05,0,0,0,0.0013826,0.1464733,0,0,0,0,0,0.0692649,0.004307,0,0.0005623,0,0,0,0,6.99e-05,0,0,0,0,0,0.0001645,0,0,0,0,0,0,0,0,0.0008414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2598729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058952,0,0,0,0,0,0,0,0,0,0,0,0.0833495,"4M"
"258_B",0,0,0,0,0,0,0.0006441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014865,0,0,0,0,0,0,0,0,0.004922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9801894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002494,0,0,0,0.01248,0,0,0,0,0,2.85e-05,"B"
"26_12M",0.0413657,0.0005172,0.0562215,0,1.67e-05,0.0010183,0.0116214,0,0,0,0.0098279,0.0013412,0.0004897,0.030741,0.0238792,0,0,0,0.0987301,0,5.18e-05,0,0,0.0004769,5.49e-05,0,0,0,0.0001508,0,0,0,0.0022074,0,0,0.0001111,0.000948,0,0.123692,0.1049463,1.74e-05,0.0015949,0,0,0.0008729,0,6.56e-05,0.0029465,0,0.0040702,0.0002942,0.0011201,0.0010628,2.24e-05,8.41e-05,0.0006235,0,3.28e-05,0.0002681,0,0,0,0.000799,0.0121912,1.47e-05,0,0,0.0923287,5.98e-05,3.44e-05,7.18e-05,0.0001423,0.0018275,0,0.001391,0.0157382,0,0.0482166,0.0007187,0,0,2.6e-05,0,0,0.1507499,0,0,0,0.0009802,0,0.0108814,0.0007476,7.64e-05,0.000418,0.0013408,0,0.0200093,0,0.0001762,0,0.0007184,"12M"
"263_12M",0.0106551,0,0.0017109,0.0007159,4.6e-05,0.0026827,0.0051291,0,0.0255862,0,0.0075971,0.0001264,8.98e-05,0.0448948,0,0,0.0055167,0,0.0591416,0.0003187,0,0.0737355,0.0345189,0.0149074,0,0,0,0,1.24e-05,0,0,0.0039152,0.0004501,0,0,0.0011892,4.17e-05,0.1788289,0,0,0,0.0080168,0,0,0.0003496,0,0,0.0010232,0,0.0004156,0.0012731,0.000159,0.0006623,2.2e-05,0,0.0003247,0,0,0,0,0.0303088,0,9.89e-05,0.011756,0.0001228,5.41e-05,0,0.0365686,0.0001337,0,0,0,0.0023877,0,0.004206,7.02e-05,0.0251309,0.0368783,0.0020636,0,0,0,1.68e-05,0,0,0,0,0,4.07e-05,0,0.0111195,0,0,0.0071261,0.0028357,0,0.0121931,0,0.0006619,0,0.0001538,"12M"
"263_4M",0,0,0,0,0,0,0.0275777,0,0,0,0,0,0,0.010459,0,0,0,0,0,0,0,0.2199979,0,0,0.0001964,0,0,3.86e-05,0,0,0,0,0,0,0,0,0,3.33e-05,0,0,0,0,0.0606249,0,0,0,0,0.0003191,0,0.0025005,0.0015059,0,0,0,0,0,0.000161,0,0.0002161,0,0.0172813,0.000244,0.0013008,0,0,0.000836,0,0.0194102,0.0001911,0.0001414,0,0.0013249,0.0169119,0,0,0.2009228,0,0,0,1.02e-05,0,8.44e-05,0,0,0,1.87e-05,0.0002558,0,0,0,0.1737773,0,0,0,0,0,0.2043941,0,0,0,0.0109735,"4M"
"263_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118931,0,0,0,0,0,0,0,0.1375752,0,0,1.09e-05,0,0.0251291,0.0011952,7.48e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042001,0,0.0011124,0,0,0,0.0047248,0,0,0,0,0,0,0,0,0.00041,0,0.2821934,0,0,0,0,0,0,0.2166706,0,3.33e-05,0,0.000265,0.1294535,0,0,0.085341,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.0278218,0,0,0,0,0,0.051508,0,0,0,0,"B"
"26_4M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003522,0,0,3.56e-05,0,6.3e-06,0,0,0,0,0,0,0.0078811,0,0,0,0,0,0,0,0.0006183,0,0,0,3.29e-05,5.3e-06,0,0,0.0001169,0,0,0,0.0228158,0,1.34e-05,0.0005967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e-06,8.36e-05,0,0,0,0.0340513,1.38e-05,0,0,0,0,0.0003799,6.31e-05,0,0,0,0,6.07e-05,0,0.000137,0,1.96e-05,0,0.2243878,0.6904929,0,0,0,0,0,0,0,0,0,"4M"
"265_12M",0.0351609,0.0001131,0.0162911,0,0.0011481,0,0.0320843,0.0002611,0,0,0,0,0,0.030674,0,0,0,0,0,0.00075,0,0,0.0766115,0,4.53e-05,0,0,1.89e-05,5.34e-05,0,6.11e-05,0.0012148,0.0032572,0.0006453,0,0.0032426,0.0047416,0.2766795,0.2332465,0.1407056,0,0,0,6.89e-05,0.0028321,0,0,0.0066162,0.0028483,0.0036612,0.0002666,0,0,0.000696,0,0,1.58e-05,0,0.0002119,0,0,0,0,0,0,0,0.0011576,0,0,2.18e-05,0.0002271,0.0001378,0.0160678,0,0,0.0202493,0.0566847,0,0.0031033,0,0,4.88e-05,0,8.22e-05,0,0,0,0.0034807,0.0026284,0,0.0139031,0,0,0,0.0034799,0,0,0,0,0,0.0021005,"12M"
"265_4M",0,0,0,0,0,0,0,0,0,0.0001362,0,0,0,0,0,0,0,0.0016028,0,0,0,0.0001666,0,0,0.0034685,0,0,0.0116199,0.0001787,0,0,0,0.0011471,0,0.0012814,0.0039893,0,6.31e-05,0,0,0.0003166,0,0,0,0.0004034,0,0,0,0,0,0,0,0,7.11e-05,0,0,0,0,0.0014903,0,0.0005574,0,0,0,0,0,0,4.34e-05,0,0,0,0,0.1486188,0,0,9.14e-05,0,0,0,0,0,0,0,0,0,0,0.0002023,0.0350666,0.0005378,0,0.7866373,0,0,0,0,0,0.0001121,0,0,0,0,"4M"
"265_B",0,0,4.62e-05,0,0,0,0,0,0,0,0.0001361,0,0,0,3.92e-05,0,0,0.005122,3.18e-05,0,0,4.6e-05,5.78e-05,2.52e-05,2.02e-05,0,0.0002131,0.0433869,6.45e-05,5.56e-05,0,0,0.0035526,0.0027314,0,0.4019336,0,0.0001072,0.0008728,0.0002437,5.9e-06,0,0,0.0766939,0.0018429,0,0,0,0,0.1314808,0,0,0,2.61e-05,0,0,0,0,0.0144823,7.53e-05,0,0,0,5.38e-05,0,0.0006786,0,0,0,0,0,0,2.04e-05,0,0,0,0.0001725,0,0,0,0,0,0,0,0,0,0,0,0.1014118,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"268_12M",0.0049962,9.2e-06,0.0327244,0.0001273,0.0005311,0.0008297,0.0014329,0,0.0053702,0,0,0,0.0012875,0.0302174,0.0189956,0,2.12e-05,0,3.56e-05,0,0,0.0185807,8.26e-05,0.0062274,0,0.1554875,0,0,0,5.68e-05,0,0,0.0010995,0.0007191,0,0.0022697,0.0013063,0,0.3072178,0.0506277,0,0.0271325,0,0,0.0006627,0,0,0.0020062,0,0.0008376,4.76e-05,0,0,8.03e-05,0,0.0011409,3.2e-06,0,0,0.0118223,0,0,0.0011628,0.0997529,0.000395,0,0.0031124,0.0113033,1.14e-05,2.8e-06,0.0001236,1.57e-05,0.000272,0,0,0.0052319,0.0663655,0,0.0005495,0,0,1.09e-05,0.000444,0,0,0,0,0.0002664,0.0013758,0,0.0083031,0.0058517,5.15e-05,0.0003013,0.0011636,0,0.0161809,0,4.53e-05,0,0.000274,"12M"
"268_4M",0.0230204,0,1.1e-06,0,0,0.0012112,0,0,0,1.81e-05,0,0,0,0.0001263,0,4.76e-05,0,1.42e-05,0,0,0,0.2585034,2.3e-06,0,0.001009,0.0119694,0,0,9.2e-06,1.2e-06,0,0,0.000187,0,0,0,0.001464,0,0.0734501,0.0233758,0,0,0,0,4.8e-05,0,0,0,0,0,0,0,0,3.4e-06,0,0,1.21e-05,0,0.000193,0.0017093,0,0,0,5.86e-05,0.0001934,0,0,0.0204679,0,4.12e-05,0,5.26e-05,0.0564288,0,0,0.0218762,4.95e-05,0,0,0,0,2.93e-05,0,0,0,0,8.31e-05,0.2589117,0,0,0.0292831,0,0,0,0,0,0.0305842,0,0,0,0.0029835,"4M"
"268_B",0.0002955,0,0,0,0,0,0,0,0,0.0052249,0,0,0,0,0,0,0,4.09e-05,0,0,0,0.0606848,0,0,0.0166712,0.0001757,0.0366263,0.0740319,0.0002639,0,0,0,0,0,0,0.0002826,0,0.0001437,0.0284529,0.0015518,0.001229,0,0,0.0085731,0,0.0015474,0,0,0,0.0191656,0,0,0,0,0,0,0,0,0.015895,0.0002763,5.77e-05,0,0,0,5.94e-05,0,0,0.0102878,0,0,0,0,0.4450101,0,0,5.17e-05,2.52e-05,0,0,0,0,0,0,0,0,0,2.46e-05,0,5.16e-05,0,0.1958687,0,0,0,0,0,0.0698145,0,0,0,0,"B"
"274_12M",0.004002,0,0.0017141,0.0005949,0,0,0.0134296,0.0022543,0.0003407,0,0.0004146,6.26e-05,0.0012291,0.0014039,0.0058644,0,0,0,0,0,0,0.1794504,0,0.0003596,0,0,0,0,0,0.0174881,0,0,0,0,0,0,0,0.0024737,0,0,0,0,0,0,0,0,0.0003887,0.0055125,2.9e-05,0,0.0003748,0,0.0001829,0,0,0.0005076,0,0,0,0,0.012001,0.0002116,0,0.0035456,0,0,0.0002097,0.0356051,5.14e-05,0,0,0,0.0007263,0,0.0001543,0,0,0,0.0001119,0,0.0002424,0,0,0,0,0,0,0,0,0.0001149,0.0024855,0,0,0,6.73e-05,0.0003888,0,0.0003614,0,0,0.0003452,"12M"
"274_B",0,0,0,0,0,0,0.0001645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6e-05,0,0,0,0,0.9740497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026677,0,0,0,0,0,0,0,0,0.0036027,0,"B"
"275_12M",0.0230443,0.0001051,0,0.0028012,0,0,0.0370542,0.0003416,0.0090749,0,0,0.0010596,0,0.0671011,0,0,0,0,0,0,0,0,0,0,1.36e-05,0,0,0,9.28e-05,0,0,0,0.0004493,0.0009357,0,1.79e-05,0.0006229,0.2815251,0,0,0,0,0,0,0.0002749,0,0.0007315,0.0032186,0.0005361,0.0016433,0.0002309,0,0,3.7e-05,0.0002764,0.0022608,0,0,0.0002935,0,0.2762366,0,0.0012167,0.0639945,0.0047329,0,0,0,0,0,0.0023825,0,0,0,0.0003888,0,0.0016546,0,0.0005445,0,0,0,0,0,0,0,0,0,0.0046033,0,0.036325,0,0,0.0024004,0.0035349,0,0,0,0.0016379,0,0.0031117,"12M"
"275_4M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001145,0,0,0.0022016,0.0004103,0,0,0,0,0,0,0.0001029,6.3e-05,0.0001745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018975,0,9.74e-05,0,0,0,0,0,0,0,0,0,0,0,0.0969347,0,0,0,0,0,0,1.62e-05,0,0,0,0,0,0,0.0005324,0,0,0,0.8921087,0,0.0013824,0,0,0,0,0,0,0,9.78e-05,"4M"
"275_B",0,0,0,0,0,0,0.0038056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002141,0,0,0,0,0,0,0,0,0,0,0,0.7777432,0.1267288,0.0009186,0,0,0,0.0029077,0,0.0017079,0,0,0,2.78e-05,1.95e-05,0,0,0,0,0,0,0,0,0,0.0152627,0,0,0,0.0001595,0,0,0.0382516,0,3.7e-06,0,0.0001882,0,0,0,7.3e-06,0,0,0,0,0,0.0063374,0,0,0,0,0,0,0,0,0.0129663,0,0.0066273,0,0.0010045,0,0,0,0.0002742,0,0.0022584,"B"
"276_12M",0.0757953,0,0,0.0016881,0,0.0014565,0.0086159,0,0.0257813,0,0.0562895,0.0002007,0.0005677,0.0168612,0.0022899,0,0,0,1.15e-05,0,0.0082998,0.0853761,0.0220285,0,0,8.23e-05,0,0,3.89e-05,0.018605,0,0.002126,0.0001218,2.69e-05,0,0,0,0,0.1837194,0.0995898,0,0,0,0,0,0,0,0.0026001,0,0.0001023,0.0004514,0.0004144,6.22e-05,0,0,0.000155,4.3e-06,0,0,0.0400307,0.0030876,0,0.0004077,0.0520619,0.000828,0,0.0012754,0.0130899,0.0001572,4.67e-05,2.32e-05,3.03e-05,0,0,0.0001853,0.0123186,0.0229306,0.0100339,7.28e-05,0,0,0,0,0,0,0,0,0.0009191,0.0001444,0.0002393,0.0318031,0,0,5.79e-05,0.0006705,0.0007544,0,0,0.0003374,0.0177342,0.0019911,"12M"
"276_4M",0.0013606,0,0,0,0,0.002328,4.31e-05,0,0,0,0,0,0,0,0,0,0,0,1.38e-05,0,0,0.0947382,0,0,8.5e-05,6.7e-06,0,0.0076156,1.23e-05,0.0107188,0,0.0003077,0.0001519,0,0,0.0159572,0.0004825,0,0.0073404,0.00368,2.3e-05,0,0.0020175,0,0.0001099,0,0,0.0001562,0,0.0010448,9.73e-05,0,0,0,0,0,2.94e-05,0,0.0004871,0.0103937,0.025001,0,0,0,0.0004681,2.6e-06,0,0.0790811,3.83e-05,6.23e-05,0,0.0001291,0.0738011,9.15e-05,0.0023256,0.0318215,0,0,0,3.02e-05,0,1.13e-05,0,0,0,6.23e-05,0.0001443,0.3403192,3.23e-05,3.67e-05,0.0605181,0,0,0,0.0014896,0,0,0,0,0.21985,0.0035202,"4M"
"276_B",0.0022372,0,0,0,0,0,0,0,0,0.000223,0,0,0,0,0,0,0,0,0,0,0,0.0016562,0,0,0.0007143,2.7e-06,0,0.0005137,0,0.0014156,0,0,0,0,0,0,0,0,0.3833292,0.0007988,1.94e-05,0,0,0.0003242,0,0,0,0,0,0.0011288,0,0,0,0,0,0,1.86e-05,0,0.0001054,0.0040737,0.0069993,0,0,0,0.0002373,0,0,0.018892,0,4.8e-05,0,0.0003357,0.1193254,0,0,0.0326651,0,0,0,0,0,2.07e-05,0,0,0,0,0,0,0,0,0.0687912,0,0,0,0,0,0.0006979,0,0,0.1190403,0,"B"
"281_12M",0,0.0040558,0,0,0,0,0.0715819,1.12e-05,0,0,0,0,0,0,0,5.74e-05,0,0,2.45e-05,0,0.0011258,0.0769993,0,0,0,0.0155531,0,0,0,0.032863,0,0,0,0,0,0,0,0,0.0322331,0.4555396,0,0,0,0,0,0,0.0056107,0.0072978,0.0156781,0,0.0016681,0,1.72e-05,0,0.0013229,0,0,0,0,0.0025315,0.029794,8.75e-05,0,0,0.0008867,0,0,0.0243284,0.000284,0,0,0,0.0004944,0,0,0,0,0,0,0,0.0002486,0,1.18e-05,0,0.0050109,0,0,0,4.6e-05,9.41e-05,0,0,0,0,0.0094573,0,0,0,0,0.0054248,0.0012718,"12M"
"281_4M",0.0093623,0,0,0,0,0,0.0479476,0,0,0,0,0,0,0,0,0,0,0,0.0005953,0,0.0003039,0.125143,0,0,0.0002236,9.5e-05,0,0,0,0.0042784,0,0,0.0001072,0,0,0.0256456,4.9e-06,0,0.0092538,0.031088,0,0,0.0295772,0,3.68e-05,0,0,0,0,0,0.001675,0,0,0,0,0,3.11e-05,0,0.0002881,0.0021802,0.0049337,0,0,0,0.0008146,6.86e-05,0,0.0205695,0.0001906,0.0001111,0,0.0005751,0.0071639,4.5e-05,0,0.0694582,0,0,0,0.0001467,0,6.04e-05,0,0,0,0,7.11e-05,0,0.0003979,0.0003189,0.2960637,2.7e-06,0,0,0,0,0,0,0,0.2893329,0.0054687,"4M"
"281_B",0,0,0,0,0,0,0.0075972,0,0,0,0,0,0,0,0,0,0,0.0024254,0,0,0,0.22582,0,0,3.6e-06,0.008179,0,0,7.7e-05,0.0050723,0,0,0,0,0,0,0,0,0.0039839,0.038355,0,0,0,0.0005885,0,4.11e-05,0,0,0,0.0004877,0,0,0,0,0,0,1.58e-05,0,0.0002516,0.0058851,0.0106308,0,0,0,0.0002164,0,0,0.0140583,0,5.91e-05,0,0.0002013,0.0577927,0,0,0.0332901,0,0,0,0,0,2.58e-05,0,0,0,0,3.65e-05,0,0,8.05e-05,0.2411677,2.12e-05,0,0,0,0,0.0001239,0,0,0.3348808,0.0007511,"B"
"282_12M",0,0.0015487,0,0,0,0,0.1271369,0,0,0,0,0.0183607,0,0,0,0.0017168,0,0,0,0,0,0,0,0,0,0.0664615,0,0,0.0002103,0,0,0,0.0023657,0.0001405,0,0.0637871,0.0203032,0.0454788,0.3786802,1.15e-05,0,0,0,0,0.0020225,0,0,0.0199696,0.0808722,0.0004737,0.0085131,0,0,0.0001994,0,0.0182072,0,0,4.53e-05,0,0,0.0022361,0,1.9e-05,0,0,0,0,0.001059,0,0,0,0.003286,0,0,0,0,0,0.0021767,0,0.0003558,0,0.000217,0,0.0986102,0,1.1e-05,0.0110096,0.0005601,0.000155,3.99e-05,0.0014372,0,0.0040818,0.0110572,0,0,0,0,0,0.0015968,"12M"
"282_4M",0,0,0,0,0,0,3.6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050488,0.0163411,0,0,0.0019271,0,0,0,0,0,5.92e-05,0.0009235,6.56e-05,0.0098673,0.0144529,2.82e-05,0.0001342,0,0,6.93e-05,0,0,0,0,3.6e-06,0,0.003102,0,0,0,0,0,0,0,0.003353,0,0,0,0,0,0,0,0,0,0.0004508,0,0,0,0.0001135,0,0,0,0,0,0,0,0,0,0,0,5.6e-06,0.0094371,0.0003243,6.99e-05,0.0006525,0,0.7449981,0.0531561,0,0,0,0,0,0,0,0,0,"4M"
"282_B",0,0,0,0,0,0,0,0,0,0.0007345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007241,0.0002027,0.001405,0,0.000762,0.0022257,0,0,0,0,0,0,0,0.0015142,0.1911461,0.0015222,0.0015507,0,0,0.0006281,0,0,0,0,0,0.0137729,0,0,0,0,0,0,0,0,0.0042699,0.0074928,0.0025686,0,0,0,0,0,0,0.0627556,0,0,0,0,0.5132945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780499,0.1013202,0,0,0.0026449,0,0.0002772,0,0,6.39e-05,0,"B"
"332_12M",0.0023779,7.15e-05,0.064782,0,0,0,0.0053288,0,0,0,0.001997,0.0010911,0,0.0746301,0.0110847,0,0.0130346,0,0,0,0,0.0466984,0,0.0713791,0,9.2e-06,0,9.62e-05,0,0.0203115,0,0,0.000957,6.04e-05,0,0.000445,0.0045793,0.0540142,1.8e-05,0.2874183,0,0,0,0,0.0005848,0,0,0.0017481,0.0127342,0.0002953,0.0013814,0,0,6.66e-05,3.6e-05,0.0005799,0,0,0.0001217,0.0036132,0,0.0100039,0.0054639,0,0.0010362,0,0.0125218,0,0.0002346,3.44e-05,0,0.0001004,0,0,0,0.0122031,0,0.0376564,0.0003816,0,0,5.2e-06,0,0,0,0,0,0.0003592,0,0.0005537,0.0004143,0,0,4.77e-05,0.0009686,0,0.0078554,0,0,0,0.0007606,"12M"
"332_4M",0.0001657,0,0,0,0,0,0.0767883,0,0,0,0,0,0,0,0,1.5e-06,0,5.3e-05,0,0,0,0.1712029,0,0,6.22e-05,0.0260232,0,0.0018066,0,0.0210346,0,0,0,0,1.61e-05,0.0007422,0,1.3e-06,4.38e-05,0.020998,0,0,0,0,0,0,0,0,0,2.72e-05,0.0003672,0,0,0,0,0,3.19e-05,2.44e-05,0.0001682,0.0974603,0,0,0.0006246,0,0,0.0054249,0,0,0.0003308,8.64e-05,0,0.0003882,0.0038503,0,0.0074069,0.0353733,0,0,0,0,0,0.0001027,0,0,0,0,0.0001343,0,0,0.0002992,0.1185088,0,0,0,0,0,0.149576,0,0.0015581,0,0.0105965,"4M"
"332_B",0.0103287,0,0,0,0,0,0,0,0,0.0001077,0,0,0,0,0,0,0,0,0,0,0,0.4845596,0,0,0.0002455,6.7e-06,0.0024327,0.0009718,0.001056,0,0,0,0,0,0,0,0,0,0.0450828,0.040827,0,0,0,0.0090508,0,0,0,0,0,0,0.0005246,0,0,0,0,0,0,0,0.0018077,0.0021306,0,0,0.0216694,0,0,0,0,0,6.97e-05,7.95e-05,0,0.0002385,0,0,0.0018196,0.0250983,0,0,0,0,0,3.53e-05,0,0,0,0,8.24e-05,0,0.0003051,0.0001278,0.0650447,0,0,0,0,0,0.0361335,0,0.0030948,0,0,"B"
"335_12M",0.1668747,0,0,0,0,0,0.0316474,0,0,0,0,0,0,0.0151243,0,0.0002754,0,0,0,0,0,0.5030174,0,0,0.0001489,0,0,0,0.000317,0,4.39e-05,0,0.0024777,0.0003667,0,0.0148027,0.027705,0,5.25e-05,0,0,0.0238105,0.0006654,0,0.0021895,0,0,0,0,0.0017451,0.0021169,0,0,0.0004497,0.0001213,0.0019775,0,0,0,0,0.108423,0,0,0,0,0,0,0,0.0002456,0,0.0001794,0,0.007237,0,0,0,0,0,0.0001151,8.8e-06,0,0,0,0,0,0,1.23e-05,0.0553025,0.0029173,0,7.05e-05,0.0008109,0,0,0.0072318,0,2.86e-05,0,0,0,0.0022556,"12M"
"335_4M",0,0,0,0,0,0,0,0,0,0.0001885,0,0,0,0,0,0,0,0,0,0,0,0.2431332,0,0,0.0006132,0,0,0.0032437,0.0003268,0.0078767,0,0,0.0118826,0,2.69e-05,0.013196,0.009114,0.0001455,0,0.0340277,0,0,0,0,0.0041724,0,0,0,0,0,0,0,0,0.0003277,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44e-05,0,0,0,0,0.0001109,0,0,0,0,0,0,0,0.0005365,0,0.0004032,0,0,0,8.38e-05,0,0.0009357,0,0.1423674,0.436893,0,0,0,0,0.0622618,0,0,0,0,"4M"
"335_B",0,0,0,0,0,0,0,0,0,7.4e-05,0,0,0,0,0,0,0,0,0,0,0,0.7441501,0,0,0.0004184,0,0,0.0309015,4.49e-05,0.0013663,0,0,0,0,0,0,0,0.0003105,5.9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369247,0.000135,0,0,0,0,0,0,0.006294,0,0,0,4.88e-05,0.0904375,0,0,0,0,0,0,0,0,6.69e-05,0,0,0,0,0,0.004193,0,0,0.0160761,3.69e-05,0,0,0.0002879,0,0,0,0,0.0018731,0,"B"
"338_12M",0.0350131,0,0,0,0,0.0001583,0.0013919,0,0.0009308,0,0.1658671,3.4e-05,0,0.0030254,0.0770132,0,0.0181636,0,0,0,0.0598535,0.2030773,0,0.0448841,0,0,0,9.63e-05,0,0,0,0,0.0001601,4.96e-05,0,0,5e-06,0.0118813,0.0247046,9.06e-05,0,0.0001469,0,0,5.84e-05,0,7.28e-05,0.0005241,0.0001244,0.0002805,0.0002529,7.86e-05,0,6.3e-06,0,0.0003542,0,0,5.04e-05,0,0.0158981,0,0,0.0347072,0.0005663,0,0.0012271,0.0241679,6.1e-06,0,5.87e-05,2.91e-05,0.0006516,0,0.0007748,0.0074482,0.0012954,0.0301337,0.0008317,0,0,0,0.0001646,0,0.0013479,0,0,0.0004316,0.0009771,0.0002212,0.0106772,0.0004552,0,0,5.97e-05,0.0011776,0,0,0,0.0094223,4.03e-05,"12M"
